net,length_um
clknet_0_clk,1317.5
_01335_,1241.16
_01675_,1164.35
_01595_,1156.27
_01188_,1155.76
_05469_,1147.835
_01490_,1143.75
_05775_,1106.95
_05065_,1088.17
_01780_,1038.14
_01437_,1000.27
_01215_,995.67
_01241_,985.04
_02030_,975.34
_01567_,973.67
_01611_,967.62
_01512_,966.33
_01433_,957.49
_05729_,955.94
_01499_,934.75
_01115_,934.53
_01427_,932.67
_01707_,927.15
_05126_,925.605
_01520_,920.225
_01295_,915.17
_01605_,906.41
_01422_,895.36
_01426_,890.19
_02176_,890.14
_01420_,886.47
_01777_,882.43
_01518_,876.34
_01853_,869.78
_01699_,867.04
_06049_,865.7
_01097_,861.96
_05464_,859.83
_01862_,858.78
_01847_,858.56
_01450_,855.975
_05320_,851.4
ReadData[16],851.1
_04978_,850.01
ReadData[10],848.42
_01513_,843.62
_01247_,841.36
_01877_,837.6
_01763_,832.4
_01726_,829.94
_04985_,827.51
_01229_,825.01
_05103_,823.58
_05219_,821.27
_06074_,819.69
_01647_,812.72
_05152_,808.97
_01603_,803.39
_01828_,801.81
_05298_,797.52
_05490_,795.56
ReadData[24],792.9
_01255_,792.03
_02005_,791.86
_05499_,789.57
_01903_,786.72
_02117_,785.31
_05726_,784.59
_04930_,784.21
_01695_,783.54
_01258_,782.34
_01630_,782.27
_05983_,780.03
_02273_,777.7
_01131_,777.67
_01531_,776.33
_05837_,774.4
_05151_,773.59
ReadData[0],771.7
_05085_,768.24
WriteData[18],763.68
_01744_,760.78
_05511_,759.815
DataAdr[6],759.35
_01503_,755.1
_05001_,754.96
_01328_,754.81
_01493_,754.74
_05443_,753.44
_01642_,751.72
_05068_,749.245
_02450_,746.8
_05069_,745.57
_01607_,745.55
_01455_,740.15
_01092_,739
PC[19],738.19
_01691_,737.67
_01498_,733.39
_01650_,729.52
_04377_,726.8
_05082_,725.93
_01126_,724.12
_01545_,723.855
_01558_,720.81
_05022_,719.94
_05257_,719.76
_06121_,719.14
_04952_,716.44
_05460_,713.99
_01808_,713.46
_01148_,713.2
_01617_,710.29
_05285_,707.14
_01256_,705.58
_05004_,703.64
DataAdr[27],703.28
_05110_,702.23
_01487_,702.19
_01564_,700.66
_01496_,699.78
_05731_,699.41
_01116_,695.27
_05841_,694.6
_01200_,694.56
_02031_,689.61
_05541_,688.02
_01317_,687.25
_06073_,684.475
_05885_,684.435
ReadData[2],684.14
_05629_,678.94
_05071_,677.505
_06010_,676.69
_01696_,675.79
_04989_,675.35
_01561_,675.33
_05778_,674.76
_04741_,674.65
Instr[8],674.62
_01682_,674.19
_01656_,671.76
_04833_,670.96
_01620_,670.09
_05706_,669.97
_01552_,669.72
_05274_,664.94
_01901_,664.73
_05668_,663.61
_01594_,662.49
_01643_,662.24
_01769_,661.93
_05695_,661.93
_01452_,661.85
_05463_,661.77
_01880_,659.81
_05552_,659.06
Instr[21],658.8
_05976_,658.19
_02288_,658.13
_01259_,656.78
_05401_,656.47
_05205_,653.78
PC[3],651.55
PC[20],651.33
_05657_,650.96
_05387_,650.92
_05863_,649.81
_01566_,649.7
_05737_,649.58
_01648_,649.2
DataAdr[24],648.69
_05591_,646.89
_06077_,646.67
_01619_,645.68
_02011_,645.64
_01207_,643.9
_01614_,639.72
PC[21],638.93
_05235_,638.91
_02440_,638.25
_01530_,638.24
_01523_,633.45
_02543_,633.01
_01198_,632.7
_01145_,630.025
_01711_,629.155
_05949_,628.47
_01243_,628.375
_05246_,628.33
_01104_,628.14
_05044_,628.02
_01660_,627.94
_01721_,626.92
_01244_,626.81
_01218_,625.93
_01240_,625.56
_01309_,625.44
_01716_,625.34
_01451_,625.32
_01542_,625.255
_01677_,623.68
_01436_,622.45
Instr[1],621.61
_05845_,621.51
_01157_,616.41
DataAdr[29],616.39
ReadData[6],615.62
_01602_,615.575
_05618_,614.16
_01462_,613.98
_01658_,613.58
_01424_,612.575
_01779_,610.81
PC[11],609.54
_01539_,609.52
ReadData[20],608.73
_05033_,608.63
_05795_,608.25
_05431_,607.84
_01315_,607.67
_05419_,607.36
_05779_,606.82
_02351_,605.34
_05569_,604.17
_05155_,603.18
ReadData[12],602.08
_05994_,600.93
_01702_,600.725
_01600_,598.8
_01593_,598.69
_01708_,597.19
_01217_,596.58
_05157_,595.98
_01797_,595.945
_04817_,595.72
_05684_,594.84
_02478_,594.7
_05874_,593.15
_02627_,592.11
_01156_,590.325
_01454_,589.32
_01856_,588.79
_01689_,588.225
_01087_,587.91
_05902_,587.73
_01753_,584.705
_05528_,584.16
_01596_,583.91
_01444_,582.97
_01551_,581.5
PC[25],581.37
_06019_,580.65
_01111_,579.76
_01604_,578.93
_01125_,577.91
_06052_,577.48
_02488_,576.54
ReadData[8],576.43
_06110_,575.67
_01446_,575.48
_05607_,574.02
_02162_,573.33
_01655_,573.32
Instr[12],572.72
_05646_,570
PC[16],567.815
_01349_,567.55
_01768_,567.31
Instr[29],566.37
_01508_,565.64
_05580_,565.48
_01468_,565.07
_01199_,564.46
_06031_,564.3
_05940_,563.51
_01329_,563.12
_04941_,562.79
WriteData[28],562.47
_01378_,560.76
_02364_,560.49
_05194_,560.19
_05960_,559.57
_01147_,559.19
_02447_,558.84
_02315_,556.945
_01192_,556.22
_01416_,554.26
_01842_,554.16
_01565_,552.38
_01492_,552.27
_01505_,550.5
PC[15],550.43
_06099_,549.255
_05145_,549.14
_01827_,548.7
_04813_,547.84
_01300_,547.65
_01316_,544.56
DataAdr[23],544.32
_05316_,543.25
_01562_,540.95
_01242_,540.6
_05325_,539.8
_02059_,538.65
_01953_,537.985
_02929_,537.66
_01612_,537.35
_04839_,536.82
_01187_,534.96
_02093_,534.46
_05832_,534.44
_02337_,532.78
PC[18],532.715
_01248_,531.555
_02163_,531.09
Instr[31],530.93
